Siglas	Votos	Diputados	Candidatura
censo	500820	7	
participacion	391237		
abstencion	109583		
nulos	6577		
blancos	1657		
PSOE	99972	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	31308	0	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
PCE	4844	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	6407	0	CENTRO DEMOCRATICO Y SOCIAL
EAJ-PNV	125389	3	PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA
HB	74217	1	AGRUPACION ELECTORES HERRI BATASUNA
FN	435	0	ASOCIACION POLITICA FUERZA NUEVA
PST	1142	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
EE	38156	1	EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO
UCE	206	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	281	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	389	0	CANDIDATURA DE UNIDAD COMUNISTA
LC (COSI)	183	0	LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)
LCR-MC	74	0	COALICION ELECTORAL IZQUIERDA COMUNISTA
