Siglas	Votos	Diputados	Candidatura
censo	376712	5	
participacion	311415		
abstencion	65297		
nulos	9250		
blancos	1768		
PSOE	135987	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	117567	2	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	16265	0	UNION DE CENTRO DEMOCRATICO
PCE	9265	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	15281	0	CENTRO DEMOCRATICO Y SOCIAL
FN	1716	0	ASOCIACION POLITICA FUERZA NUEVA
PST	1760	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
SE	642	0	SOLIDARIDAD ESPAÑOLA
UCE	421	0	UNIFICACION COMUNISTA DE ESPAÑA
CUC	404	0	CANDIDATURA DE UNIDAD COMUNISTA
MFE	827	0	MOVIMIENTO FALANGISTA DE ESPAÑA
LC (COSI)	262	0	LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)
