Siglas	Votos	Diputados	Candidatura
censo	847765	517321	
participacion	25113		
abstencion	822652		
nulos	520329		
blancos	4051		
PSOE	200522	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	184681	4	COALICION POPULAR
CDS	51763	1	CENTRO DEMOCRATICO Y SOCIAL
IU	6639	0	COALICION IZQUIERDA UNIDA
MUC	6042	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
CG	18662	0	COALICION GALEGA
PST	3130	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCC	834	0	PARTIT DELS COMUNISTES DE CATALUNYA
PSG-EG	18669	0	PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA
FE-JONS	942	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	1528	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	953	0	UNIDAD  POPULAR REPUBLICANA
BNG	13092	0	BLOQUE NACIONALISTA GALEGO
POSI	975	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
CUN	692	0	COALICION DE UNIDAD NACIONAL
