Siglas	Votos	Diputados	Candidatura
censo	312597	212040	
participacion	1649		
abstencion	310948		
nulos	212966		
blancos	281		
PSOE	130386	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	44778	1	COALICION POPULAR
CDS	12034	0	CENTRO DEMOCRATICO Y SOCIAL
IU	11068	0	COALICION IZQUIERDA UNIDA
MUC	1889	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	1698	0	PARTIDO REFORMISTA DEMOCRATICO
PA	4910	0	PARTIDO ANDALUCISTA
FE-JONS	361	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	445	0	UNIFICACION COMUNISTA DE ESPAÑA
PSPA	1041	0	PARTIDO SOCIALISTA DEL PUEBLO ANDALUZ
