Siglas	Votos	Diputados	Candidatura
censo	148049	112992	
participacion	1608		
abstencion	146441		
nulos	113816		
blancos	395		
PSOE	44952	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	44311	1	COALICION POPULAR
CDS	13819	0	CENTRO DEMOCRATICO Y SOCIAL
IU	3271	0	COALICION IZQUIERDA UNIDA
MUC	1081	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	1634	0	PARTIDO REFORMISTA DEMOCRATICO
PST	410	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
FE-JONS	519	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	364	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	234	0	UNIDAD  POPULAR REPUBLICANA
POSI	317	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
