Siglas	Votos	Diputados	Candidatura
censo	42671	24375	
participacion	559		
abstencion	42112		
nulos	24510		
blancos	95		
PSOE	10937	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	8788	0	COALICION POPULAR
CDS	1928	0	CENTRO DEMOCRATICO Y SOCIAL
IU	351	0	COALICION IZQUIERDA UNIDA
PRD	499	0	PARTIDO REFORMISTA DEMOCRATICO
PST	117	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
UCE	66	0	UNIFICACION COMUNISTA DE ESPAÑA
CA	758	0	COALICION CANDIDATURA POR LA AUTONOMIA
AE-AIC	601	0	AGRUPACION ELECTORAL"AGRUP INDEPENDIENTE DE CEUTA"
