Siglas	Votos	Diputados	Candidatura
censo	143404	110349	
participacion	843		
abstencion	142561		
nulos	111022		
blancos	310		
PSOE	30282	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	35757	1	PARTIDO POPULAR
IU	4815	0	IZQUIERDA UNIDA
CDS	34402	1	CENTRO DEMOCRATICO Y SOCIAL
RUIZ-MATEOS	682	0	AGRUPACION RUIZ-MATEOS
LV-LV	1139	0	LOS VERDES-LISTA VERDE
LVE	487	0	LOS VERDES ECOLOGISTAS
PTE-UC	156	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	216	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	146	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE-JONS	149	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PH	70	0	PARTIDO HUMANISTA
AR	110	0	ALIANZA POR LA REPUBLICA
