Siglas	Votos	Diputados	Candidatura
censo	887426	613978	
participacion	9059		
abstencion	878367		
nulos	617697		
blancos	4187		
PSOE	248584	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	162590	3	PARTIDO POPULAR
IU	95494	1	IZQUIERDA UNIDA
CDS	76643	1	CENTRO DEMOCRATICO Y SOCIAL
RUIZ-MATEOS	3424	0	AGRUPACION RUIZ-MATEOS
LV-LV	4352	0	LOS VERDES-LISTA VERDE
LVE	3340	0	LOS VERDES ECOLOGISTAS
PTE-UC	1854	0	PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA
PST	2861	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCPE	1604	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE-JONS	751	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PH	406	0	PARTIDO HUMANISTA
AR	469	0	ALIANZA POR LA REPUBLICA
PAS	3526	0	PARTIU ASTURIANISTA
UNA	3218	0	UNIDA NACIONALISTA ASTURIANA
