Siglas	Votos	Diputados	Candidatura
censo	166523	136857	
participacion	788		
abstencion	165735		
nulos	137918		
blancos	360		
PSOE	59763	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	64408	2	PARTIDO POPULAR
IU	7041	0	IZQUIERDA UNIDA
CDS	3325	0	CENTRO DEMOCRATICO Y SOCIAL
VERDES	497	0	LOS VERDES
LE	235	0	LOS ECOLOGISTAS
ARM-ADE	232	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
PLN	51	0	PARTIDO DE LA LEY NATURAL
PH	40	0	PARTIDO HUMANISTA
TC-PNC	361	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
UC	124	0	UNION CASTELLANISTA
