Siglas	Votos	Diputados	Candidatura
censo	176054	136058	
participacion	3474		
abstencion	172580		
nulos	137492		
blancos	1362		
PSOE	53965	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	67597	2	PARTIDO POPULAR
IU	6027	0	IZQUIERDA UNIDA
CDS	4703	0	CENTRO DEMOCRATICO Y SOCIAL
VERDES	747	0	LOS VERDES
LE	352	0	LOS ECOLOGISTAS
ARM-ADE	421	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
UPL	130	0	UNION DEL PUEBLO LEONES
PLN	63	0	PARTIDO DE LA LEY NATURAL
PH	69	0	PARTIDO HUMANISTA
FE-JONS	113	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
TC-PNC	74	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
URCL	296	0	UNIDAD REGIONALISTA DE CASTILLA Y LEON
PB	74	0	PARTIDO DE EL BIERZO
PREPAL	521	0	PARTIDO REGIONALISTA DEL PAIS LEONES
