Siglas	Votos	Diputados	Candidatura
censo	4144804	3300735	
participacion	54995		
abstencion	4089809		
nulos	3342628		
blancos	19178		
PP	1642489	17	PARTIDO POPULAR
PSOE	1046904	11	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	547901	6	IZQUIERDA UNIDA
LVE	5492	0	LOS VERDES EUROPEOS
UC	12220	0	UNION CENTRISTA
LV-GV	12975	0	LOS VERDES-GRUPO VERDE
PRT	1339	0	PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES
PCPE	1588	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	1495	0	PARTIDO HUMANISTA
FEA	1031	0	FALANGE ESPAÑOLA AUTENTICA
LV	8483	0	LOS VERDES DE MADRID
AUN	1907	0	ALIANZA POR LA UNIDAD NACIONAL
PREPAL	815	0	SALAMANCA, ZAMORA, LEON
CR	712	0	COALICION REPUBLICANA
PRIM	1671	0	PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO
PRV	976	0	PARTIDO ROJI-VERDE
FEI	867	0	FALANGE ESPAÑOLA INDEPENDIENTE
AR	656	0	ACCION REPUBLICANA
ADEC	598	0	ACCION DEMOCRATICA CIUDADANA
