Siglas	Votos	Diputados	Candidatura
censo	1762779	1441962	
participacion	18940		
abstencion	1743839		
nulos	1453121		
blancos	5978		
PP	607914	7	PARTIDO POPULAR
PSOE	534847	6	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	174807	2	IZQUIERDA UNIDA
ERC	1420	0	ESQUERRA REPUBLICANA DE CATALUNYA
UV	81350	1	UNIO VALENCIANA
LVE	11249	0	LOS VERDES EUROPEOS
UC	1599	0	UNION CENTRISTA
UPV-BN	16850	0	UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA
PRT	475	0	PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES
PCPE	1415	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	486	0	PARTIDO HUMANISTA
FEA	621	0	FALANGE ESPAÑOLA AUTENTICA
AUN	428	0	ALIANZA POR LA UNIDAD NACIONAL
CR	482	0	COALICION REPUBLICANA
ENV	574	0	ESQUERRA NACIONALISTA VALENCIANA
ALAS	402	0	AGRUPACION LIBERAL AUTONOMISTA Y SOCIAL
LAE	296	0	LIGA AUTONOMA ESPAÑOLA
