Siglas	Votos	Diputados	Candidatura
censo	516466	398598	
participacion	8347		
abstencion	508119		
nulos	402625		
blancos	1727		
PP	161285	3	PARTIDO POPULAR
PSOE-PROGR.	190958	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	28450	0	IZQUIERDA UNIDA
PA	13038	0	PARTIDO ANDALUCISTA
UC-CDS	146	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	186	0	PARTIDO HUMANISTA
PLN	168	0	PARTIDO DE LA LEY NATURAL
FE	196	0	LA FALANGE
PCPE	349	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
ES2000	102	0	PLATAFORMA ESPAÑA 2000
PADE	102	0	PARTIDO DEMOCRATA ESPAÑOL
IA	437	0	IZQUIERDA ANDALUZA
FEI-FE 2000	99	0	FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000
NA	250	0	NACION ANDALUZA
A	150	0	ASAMBLEA DE ANDALUCIA
