Siglas	Votos	Diputados	Candidatura
censo	427819	310057	
participacion	23503		
abstencion	404316		
nulos	314258		
blancos	5698		
PP	152268	3	PARTIDO POPULAR
PSOE-PROGR.	99804	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	11316	0	IZQUIERDA UNIDA
UPL	41690	0	UNION DEL PUEBLO LEONES
UC-CDS	293	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	216	0	PARTIDO HUMANISTA
TC-PNC	129	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
PLN	277	0	PARTIDO DE LA LEY NATURAL
FE	239	0	LA FALANGE
PCPE	224	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PADE	151	0	PARTIDO DEMOCRATA ESPAÑOL
PREPAL	330	0	SALAMANCA, ZAMORA, LEON PREPAL
PB	1191	0	PARTIDO DE EL BIERZO
