Siglas	Votos	Diputados	Candidatura
censo	452898	294554	
participacion	10994		
abstencion	441904		
nulos	306494		
blancos	2339		
PP	150995	3	PARTIDO POPULAR
PSOE-PROGR.	82688	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	23038	0	IZQUIERDA UNIDA
EAJ-PNV	6536	0	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EA	14185	0	EUSKO ALKARTASUNA
UC-CDS	529	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	970	0	PARTIDO HUMANISTA
PLN	1366	0	PARTIDO DE LA LEY NATURAL
FE	455	0	LA FALANGE
ES2000	267	0	PLATAFORMA ESPAÑA 2000
CDN	8646	0	CONVERGENCIA DEMOCRATAS DE NAVARRA
FEI-FE 2000	153	0	FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000
PC	650	0	PARTIDO CARLISTA
LI (LIT-CI)	263	0	LUCHA INTERNACIONALISTA
