Siglas	Votos	Diputados	Candidatura
censo	293207	224072	
participacion	53681		
abstencion	239526		
nulos	226105		
blancos	12920		
PP	128535	3	PARTIDO POPULAR
PSOE-PROGR.	51864	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	1626	0	IZQUIERDA UNIDA
BNG	38106	0	BLOQUE NACIONALISTA GALEGO
UC-CDS	180	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	169	0	PARTIDO HUMANISTA
FE	149	0	LA FALANGE
ES2000	230	0	PLATAFORMA ESPAÑA 2000
AU.TO.NO.MO	256	0	PARTIDO DE LOS AUTONOMOS Y PROFESIONALES
DG	688	0	DEMOCRACIA GALEGA
CG	714	0	COALICION GALEGA
FPG	184	0	FRENTE POPULAR GALEGA
