Siglas	Votos	Diputados	Candidatura
censo	298378	219918	
participacion	17041		
abstencion	281337		
nulos	224527		
blancos	3406		
PP	130360	3	PARTIDO POPULAR
PSOE-PROGR.	72769	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	8195	0	IZQUIERDA UNIDA
UC-CDS	386	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	275	0	PARTIDO HUMANISTA
TC-PNC	260	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
PLN	309	0	PARTIDO DE LA LEY NATURAL
FE	167	0	LA FALANGE
ES2000	97	0	PLATAFORMA ESPAÑA 2000
PADE	118	0	PARTIDO DEMOCRATA ESPAÑOL
FEI-FE 2000	106	0	FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000
URCL	2917	0	UNIDAD REGIONALISTA DE CASTILLA Y LEON
PREPAL	760	0	SALAMANCA, ZAMORA, LEON PREPAL
USI	1416	0	UNION SALMANTINA INDEPENDIENTE
