Siglas	Votos	Diputados	Candidatura
censo	408397	303197	
participacion	18913		
abstencion	389484		
nulos	307389		
blancos	4489		
PSOE	145868	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	135434	2	PARTIDO POPULAR
IU	9522	0	IZQUIERDA UNIDA
PA	7190	0	PARTIDO ANDALUCISTA
CENB	273	0	CIUDADANOS EN BLANCO
CDS	257	0	CENTRO DEMOCRATICO Y SOCIAL
PSA	773	0	PARTIDO SOCIALISTA DE ANDALUCIA
PH	205	0	PARTIDO HUMANISTA
IR	116	0	IZQUIERDA REPUBLICANA
PFyV	172	0	PARTIDO FAMILIA Y VIDA
DN	128	0	DEMOCRACIA NACIONAL
FE de las JONS	171	0	FALANGE ESPAÑOLA DE LAS JONS
FE	138	0	LA FALANGE
MSR	108	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	135	0	PARTIDO DEMOCRATA ESPAÑOL
A	126	0	ASAMBLEA DE ANDALUCIA
PTPRE	122	0	PARTIDO DE LOS TRABAJADORES EN PRECARIO
A-IZ	901	0	ASAMBLEA DE IZQUIERDAS-INICIATIVA POR ANDALUCIA
