Siglas	Votos	Diputados	Candidatura
censo	678300	464416	
participacion	9534		
abstencion	668766		
nulos	473481		
blancos	2430		
PSOE	185623	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	215737	4	PARTIDO POPULAR
PSM-EN,EU,EV,ER	40289	0	PSM-ENTESA NACIONALISTA,ESQUERRA UNIDA,E.VERDS,ERC
CENB	1588	0	CIUDADANOS EN BLANCO
IR	825	0	IZQUIERDA REPUBLICANA
DN	227	0	DEMOCRACIA NACIONAL
FE de las JONS	325	0	FALANGE ESPAÑOLA DE LAS JONS
UM	10558	0	UNIO MALLORQUINA
FE	272	0	LA FALANGE
MSR	134	0	MOVIMIENTO SOCIAL REPUBLICANO
GVE	2662	0	GRUPO VERDE EUROPEO
ASI	1237	0	AGRUPACION SOCIAL INDEPENDIENTE
UCM	751	0	UNIO CENTRISTES DE MENORCA
UPB	411	0	UNION DEL PUEBLO BALEAR
TD	407	0	COALICIO TREBALLADORS PER LA DEMOCRACIA
