Siglas	Votos	Diputados	Candidatura
censo	397244	309857	
participacion	4315		
abstencion	392929		
nulos	314877		
blancos	1190		
PSOE	139236	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	142462	3	PARTIDO POPULAR
IU	10322	0	IZQUIERDA UNIDA
ERC	2210	0	ESQUERRA REPUBLICANA DE CATALUNYA
BLOC-EV	6325	0	BLOC NACIONALISTA VALENCIA-ESQUERRA VERDA
CENB	881	0	CIUDADANOS EN BLANCO
LV-E	2153	0	LOS VERDES-ECOPACIFISTAS
CDS	752	0	CENTRO DEMOCRATICO Y SOCIAL
PH	282	0	PARTIDO HUMANISTA
PFyV	390	0	PARTIDO FAMILIA Y VIDA
DN	205	0	DEMOCRACIA NACIONAL
PCPE	255	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	211	0	FALANGE ESPAÑOLA DE LAS JONS
FE	121	0	LA FALANGE
POSI	266	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
MSR	60	0	MOVIMIENTO SOCIAL REPUBLICANO
FA	172	0	FALANGE AUTENTICA
ESPAÑA 2000	694	0	ESPAÑA 2000
PRF	152	0	PARTIDO REPUBLICANO
