Siglas	Votos	Diputados	Candidatura
censo	669042	517453	
participacion	25262		
abstencion	643780		
nulos	525722		
blancos	6219		
PSOE	268870	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	193484	3	PARTIDO POPULAR
IU	31227	0	IZQUIERDA UNIDA
PA	14030	0	PARTIDO ANDALUCISTA
CENB	682	0	CIUDADANOS EN BLANCO
CDS	480	0	CENTRO DEMOCRATICO Y SOCIAL
PSA	2490	0	PARTIDO SOCIALISTA DE ANDALUCIA
PH	418	0	PARTIDO HUMANISTA
IR	244	0	IZQUIERDA REPUBLICANA
PFyV	415	0	PARTIDO FAMILIA Y VIDA
DN	203	0	DEMOCRACIA NACIONAL
PCPE	372	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	190	0	FALANGE ESPAÑOLA DE LAS JONS
FE	170	0	LA FALANGE
MSR	113	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	201	0	PARTIDO DEMOCRATA ESPAÑOL
ESPAÑA 2000	167	0	ESPAÑA 2000
PTPRE	390	0	PARTIDO DE LOS TRABAJADORES EN PRECARIO
