Siglas	Votos	Diputados	Candidatura
censo	481381	330909	
participacion	8191		
abstencion	473190		
nulos	336617		
blancos	2454		
P.S.O.E.	131994	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	40722	0	PARTIDO POPULAR
I.U.	10727	0	IZQUIERDA UNIDA
CiU	90836	2	CONVERGENCIA I UNIO
UPyD	376	0	UNION PROGRESO Y DEMOCRACIA
ESQUERRA	44030	1	ESQUERRA REPUBLICANA DE CATALUNYA
C's	924	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	937	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
PUM+J	201	0	POR UN MUNDO MAS JUSTO
P.C.P.E.	417	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CENB	438	0	CIUDADANOS EN BLANCO
FE de las JONS	188	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	144	0	DEMOCRACIA NACIONAL
PFyV	146	0	FAMILIA Y VIDA
PH	110	0	PARTIDO HUMANISTA
P.O.S.I.	923	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
AES	57	0	ALTERNATIVA ESPAÑOLA
E-2000	75	0	ESPAÑA 2000
RC	1141	0	PARTIT REPUBLICA CATALA
Ei	617	0	EI ESCONS INSUBMISOS-ALTERNATIVA DELS DEMOCRATES DESCONTENTS
IR	569	0	IZQUIERDA REPUBLICANA
A.u.N.	50	0	ALIANZA NACIONAL
E.V.-A.V.	2028	0	ELS VERDS-ALTERNATIVA VERDA
P.C.	54	0	PARTIDO CARLISTA
PxCat	231	0	PARTIT PER CATALUNYA
FRENTE	57	0	FRENTE ESPAÑOL
PLCI	52	0	PARTIDO DE LAS LIBERTADES CIVILES
LI-LITCI	123	0	LUCHA INTERNACIONALISTA
