Siglas	Votos	Diputados	Candidatura
censo	772248	612654	
participacion	96312		
abstencion	675936		
nulos	619118		
blancos	33050		
P.S.O.E.	249086	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	268446	3	PARTIDO POPULAR
I.U.	9623	0	IZQUIERDA UNIDA
UPyD	3373	0	UNION PROGRESO Y DEMOCRACIA
B.N.G.	70735	1	BLOQUE NACIONALISTA GALEGO
C's	396	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	1444	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
LV-GV	1030	0	LOS VERDES-GRUPO VERDE
PUM+J	575	0	POR UN MUNDO MAS JUSTO
LVE	943	0	LOS VERDES DE EUROPA
P.S.D.	865	0	PARTIDO SOCIAL DEMOCRATA
FE de las JONS	380	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	213	0	DEMOCRACIA NACIONAL
PFyV	321	0	FAMILIA Y VIDA
PH	386	0	PARTIDO HUMANISTA
AES	100	0	ALTERNATIVA ESPAÑOLA
FRENTE	114	0	FRENTE ESPAÑOL
