Siglas	Votos	Diputados	Candidatura
censo	1448825	1072705	
participacion	20251		
abstencion	1428574		
nulos	1084712		
blancos	5241		
P.S.O.E.	626558	8	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	339644	4	PARTIDO POPULAR
I.U.	58091	0	IZQUIERDA UNIDA
UPyD	13467	0	UNION PROGRESO Y DEMOCRACIA
CA	18206	0	COALICION ANDALUCISTA
C's	682	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	1517	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
VERDES	3065	0	LOS VERDES
PUM+J	807	0	POR UN MUNDO MAS JUSTO
P.C.P.E.	533	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	414	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	279	0	DEMOCRACIA NACIONAL
PFyV	365	0	FAMILIA Y VIDA
PH	393	0	PARTIDO HUMANISTA
P.O.S.I.	1058	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
AES	287	0	ALTERNATIVA ESPAÑOLA
F.A.	189	0	FALANGE AUTENTICA
SAIn	612	0	SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA
AMD	356	0	ALTERNATIVA MOTOR Y DEPORTES
