Siglas	Votos	Diputados	Candidatura
censo	74013	56449	
participacion	3357		
abstencion	70656		
nulos	57419		
blancos	1333		
P.S.O.E.	23868	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	27905	1	PARTIDO POPULAR
I.U.	1253	0	IZQUIERDA UNIDA
UPyD	1106	0	UNION PROGRESO Y DEMOCRACIA
C's	187	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	91	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
VERDES	107	0	LOS VERDES
PUM+J	66	0	POR UN MUNDO MAS JUSTO
LVE	96	0	LOS VERDES DE EUROPA
P.S.D.	83	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	50	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	48	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	55	0	DEMOCRACIA NACIONAL
PFyV	27	0	FAMILIA Y VIDA
AES	20	0	ALTERNATIVA ESPAÑOLA
E-2000	16	0	ESPAÑA 2000
TC	83	0	TIERRA COMUNERA
