Siglas	Votos	Diputados	Candidatura
censo	246383	338850	
participacion	4360		
abstencion	242023		
nulos	343		
blancos	171811		
PP	46034	1	PARTIDO POPULAR
PSOE	39698	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	6917	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	4662	0	UNIÓN PROGRESO Y DEMOCRACIA
AMAIUR	32439	1	AMAIUR
EAJ-PNV	31931	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EQUO	3574	0	EQUO
PACMA	1178	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
PUM+J	778	0	POR UN MUNDO MÁS JUSTO
UCE	290	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
