Siglas	Votos	Diputados	Candidatura
censo	960499	1240504	
participacion	20562		
abstencion	939937		
nulos	624		
blancos	625167		
PP	291897	5	PARTIDO POPULAR
PSOE	203251	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	54262	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	29761	0	UNIÓN PROGRESO Y DEMOCRACIA
EQUO	4345	0	EQUO
PACMA	2872	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Eb	2329	0	ESCAÑOS EN BLANCO
PA	19289	0	PARTIDO ANDALUCISTA
P.C.P.E.	1072	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
ANTICAPITALISTAS	874	0	ANTICAPITALISTAS
UCE	265	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
HARTOS.ORG	921	0	HARTOS.ORG
INTERNET	603	0	PARTIDO DE INTERNET
