Siglas	Votos	Diputados	Candidatura
censo	121111	184978	
participacion	2370		
abstencion	118741		
nulos	179		
blancos	94090		
PP	52173	2	PARTIDO POPULAR
PSOE	24780	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	5237	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	6889	0	UNIÓN PROGRESO Y DEMOCRACIA
EQUO	981	0	EQUO
PACMA	353	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
PUM+J	237	0	POR UN MUNDO MÁS JUSTO
UCE	115	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
FE de las JONS	247	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
