Siglas	Votos	Diputados	Candidatura
censo	507241	769886	
participacion	6967		
abstencion	500274		
nulos	438		
blancos	390716		
PP	220474	4	PARTIDO POPULAR
PSOE	112568	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	22373	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	19089	0	UNIÓN PROGRESO Y DEMOCRACIA
EQUO	2178	0	EQUO
PACMA	1473	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
P.C.P.E.	629	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
UCE	163	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
HARTOS.ORG	789	0	HARTOS.ORG
U.C.I.T.	785	0	UNION DE CIUDADANOS INDEPENDIENTES DE TOLEDO
