Siglas	Votos	Diputados	Candidatura
censo	771381	8	
participacion	488666		
abstencion	282715		
nulos	3997		
blancos	4696		
PP	140640	3	PARTIDO POPULAR
PSOE	88635	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	71551	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	111628	2	PODEMOS
IU-UPeC	11451	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	5114	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	2276	0	UNIÓN PROGRESO Y DEMOCRACIA
RECORTES CE	1177	0	RECORTES CERO-GRUPO VERDE
MÉS	33877	0	MÉS
EL PI	12910	0	EL PI - PROPOSTA PER LES ILLES
PFyV	714	0	FAMILIA Y VIDA
