Siglas	Votos	Diputados	Candidatura
censo	351037	4	
participacion	252419		
abstencion	98618		
nulos	1559		
blancos	3427		
PP	87924	2	PARTIDO POPULAR
PSOE	84758	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	28406	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	34730	0	PODEMOS
IU-UPeC	7252	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	1363	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	1074	0	UNIÓN PROGRESO Y DEMOCRACIA
VOX	518	0	VOX
RECORTES CE	338	0	RECORTES CERO-GRUPO VERDE
EU-eX	1070	0	EXTREMADURA UNIDA-EXTREMEÑOS
