Siglas	Votos	Diputados	Candidatura
censo	247507	4	
participacion	179269		
abstencion	68238		
nulos	1496		
blancos	2062		
PP	67941	2	PARTIDO POPULAR
PSOE	41973	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	26812	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	28073	1	PODEMOS
IU-UPeC	7423	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	1177	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	1361	0	UNIÓN PROGRESO Y DEMOCRACIA
RECORTES CE	360	0	RECORTES CERO-GRUPO VERDE
PCPE	229	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
EB	362	0	ESCAÑOS EN BLANCO
