Siglas	Votos	Diputados	Candidatura
censo	313207	4	
participacion	182909		
abstencion	130298		
nulos	2156		
blancos	1750		
PP	24503	1	PARTIDO POPULAR
PSOE	22533	0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	12592	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
ECP	30182	1	EN COMÚ PODEM-GUANYEM EL CANVI
ERC-CATSÍ	45525	1	ESQUERRA REPUBLICANA/CATALUNYA SÍ
CDC	40985	1	CONVERGÈNCIA DEMOCRÀTICA DE CATALUNYA
PACMA	1930	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GRUPO VERDE	288	0	RECORTES CERO-GRUPO VERDE
VOX	198	0	VOX
PCPE	267	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
