Siglas	Votos	Diputados	Candidatura
censo	109380	3	
participacion	75932		
abstencion	33448		
nulos	704		
blancos	1010		
PP	30913	2	PARTIDO POPULAR
PSOE	19724	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PODEMOS-IU-EQUO	12558	0	UNIDOS PODEMOS
C's	9871	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	402	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GRUPO VERDE	125	0	RECORTES CERO-GRUPO VERDE
PCPE	71	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
EB	245	0	ESCAÑOS EN BLANCO
FE de las JONS	160	0	FALANGE ESPAÑOLA DE LAS JONS
MAS	62	0	MOVIMIENTO ARAGONÉS SOCIAL
INDEPENDIENTES-FIA	39	0	INDEPENDIENTES POR ARAGÓN
UDT	48	0	UNIÓN DE TODOS
