Siglas	Votos	Diputados	Candidatura
censo	648790	6	
participacion	480773		
abstencion	168017		
nulos	4755		
blancos	7057		
PSOE	163000	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	89203	1	PARTIDO POPULAR
Cs	79978	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	70427	1	UNIDAS PODEMOS
VOX	56919	1	VOX
PACMA	4946	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	756	0	RECORTES CERO-GRUPO VERDE
PUM+J	469	0	POR UN MUNDO MÁS JUSTO
PCTE	426	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	1233	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
EB	788	0	ESCAÑOS EN BLANCO
PCPA	816	0	PARTIDO COMUNISTA DEL PUEBLO ANDALUZ
