Siglas	Votos	Diputados	Candidatura
censo	345038	4	
participacion	203751		
abstencion	141287		
nulos	2320		
blancos	3753		
PSOE	66441	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	67191	2	PARTIDO POPULAR
Cs	17812	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
VOX	11450	0	VOX
PODEMOS-EU-MAREAS EN COMÚN-EQUO	20282	0	EN COMÚN-UNIDAS PODEMOS
PACMA	1602	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
BNG	9658	0	BLOQUE NACIONALISTA GALEGO
RECORTES CERO-GV	306	0	RECORTES CERO-GRUPO VERDE
EN MAREA	2168	0	EN MAREA
PCTE	304	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
CxG	391	0	COMPROMISO POR GALICIA
C 21	73	0	CONVERXENCIA 21
