Siglas	Votos	Diputados	Candidatura
censo	1057296	10	
participacion	777423		
abstencion	279873		
nulos	4771		
blancos	8339		
PSOE	190540	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	180163	2	PARTIDO POPULAR
Cs	150289	2	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	80053	1	UNIDAS PODEMOS
VOX	143234	2	VOX
PACMA	10611	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1406	0	RECORTES CERO-GRUPO VERDE
PCOE	1162	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
PCPE	663	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
SOMOS REGIÓN	4976	0	SOMOS REGIÓN
IZQP	712	0	IZQUIERDA EN POSITIVO
DPL	504	0	DEMOCRACIA PLURAL
