Siglas	Votos	Diputados	Candidatura
censo	868186	8	
participacion	552491		
abstencion	315695		
nulos	4261		
blancos	7439		
PSOE	154342	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	88313	2	PARTIDO POPULAR
Cs	84015	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	91216	2	UNIDAS PODEMOS
VOX	38229	0	VOX
CCa-PNC	34853	0	COALICION CANARIA-PARTIDO NACIONALISTA CANARIO
PACMA	8669	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1439	0	RECORTES CERO-GRUPO VERDE
Nca	36225	0	NUEVA CANARIAS
PUM+J	837	0	POR UN MUNDO MÁS JUSTO
PCPE	831	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	559	0	PARTIDO HUMANISTA
AHORA CANARIAS	1263	0	AHORA CANARIAS: Alternativa Nacionalista Canaria ANC y Unidad del Pueblo
