Siglas	Votos	Diputados	Candidatura
censo	949442	8	
participacion	691702		
abstencion	257740		
nulos	4557		
blancos	4742		
PSOE	136547	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	49859	0	PARTIDO POPULAR
Cs	21392	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	121740	2	UNIDAS PODEMOS
VOX	15839	0	VOX
EAJ-PNV	235916	3	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EH Bildu	91771	1	EUSKAL HERRIA BILDU
PACMA	6187	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1177	0	RECORTES CERO-GRUPO VERDE
PUM+J	844	0	POR UN MUNDO MÁS JUSTO
PCTE	603	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
SOLIDARIA	528	0	PARTIDO DE ACCIÓN SOLIDARIA EUROPEA
