Siglas	Votos	Diputados	Candidatura
censo	1197688	11	
participacion	766819		
abstencion	430869		
nulos	8358		
blancos	10098		
PSOE	226831	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	163177	3	PARTIDO POPULAR
VOX	162280	2	VOX
PODEMOS-IU	97801	1	UNIDAS PODEMOS
Cs	66995	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	14112	0	MÁS PAÍS-EQUO
PACMA	11089	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1261	0	RECORTES CERO-GRUPO VERDE
PUM+J	904	0	POR UN MUNDO MÁS JUSTO
AxSÍ	1686	0	ANDALUCÍA POR SÍ
PCPE	581	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	381	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	1265	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
