Siglas	Votos	Diputados	Candidatura
censo	432655	5	
participacion	314787		
abstencion	117868		
nulos	3147		
blancos	3333		
PSOE	94384	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	91857	2	PARTIDO POPULAR
VOX	56353	1	VOX
PODEMOS-IU	34313	0	UNIDAS PODEMOS
Cs	26947	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	2088	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	594	0	RECORTES CERO-GRUPO VERDE
PUM+J	586	0	POR UN MUNDO MÁS JUSTO
PCPE	223	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	281	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
FE de las JONS	151	0	FALANGE ESPAÑOLA DE LAS JONS
UNIÓN REGIONALISTA	530	0	UNIÓN REGIONALISTA DE CASTILLA Y LEÓN
