Siglas	Votos	Diputados	Candidatura
censo	260214	138173	
participacion	169107		
abstencion	91107		
nulos	1431		
blancos	30212		
PP	30212	1	PARTIDO POPULAR
PSOE	46775	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	6573	0	VOX
SUMAR	21561	0	SUMAR
EH Bildu	32987	1	EUSKAL HERRIA BILDU
EAJ-PNV	28075	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
PACMA	773	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	354	0	FRENTE OBRERO
RECORTES CERO	185	0	RECORTES CERO
PUM+J	106	0	POR UN MUNDO MÁS JUSTO
PCTE	165	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	619	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
