Siglas	Votos	Diputados	Candidatura
censo	173391	72895	
participacion	119895		
abstencion	53496		
nulos	1253		
blancos	45783		
PP	45783	2	PARTIDO POPULAR
PSOE	40307	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	15155	0	VOX
SUMAR	13774	0	SUMAR
PACMA	498	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	258	0	FRENTE OBRERO
RECORTES CERO	64	0	RECORTES CERO
PUM+J	114	0	POR UN MUNDO MÁS JUSTO
EXISTE	1312	0	ARAGÓN EXISTE - COALICIÓN EXISTE
PCTE	137	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	475	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
PAR	717	0	PARTIDO ARAGONÉS
F.I.A.	84	0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN
