Siglas	Votos	Diputados	Candidatura
censo	252091	93340	
participacion	174663		
abstencion	77428		
nulos	2282		
blancos	79715		
PP	79715	2	PARTIDO POPULAR
PSOE	62322	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	17056	0	VOX
SUMAR	11470	0	SUMAR
PACMA	723	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	295	0	FRENTE OBRERO
RECORTES CERO	124	0	RECORTES CERO
PUM+J	232	0	POR UN MUNDO MÁS JUSTO
PCTE	224	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	608	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
3e	286	0	TERCERA EDAD EN ACCIÓN
