Siglas	Votos	Diputados	Candidatura
censo	596689	313795	
participacion	368024		
abstencion	228665		
nulos	4402		
blancos	51061		
PP	51061	1	PARTIDO POPULAR
PSOE	121126	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	38039	0	VOX
SUMAR	41719	1	SUMAR
ERC	55461	1	ESQUERRA REPUBLICANA DE CATALUNYA
JxCAT - JUNTS	40791	1	JUNTS PER CATALUNYA - JUNTS
PACMA	3797	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
CUP-PR	8700	0	CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA
FO	661	0	FRENTE OBRERO
PDeCAT-E-CiU	2311	0	PARTIT DEMÒCRATA EUROPEU CATALÀ-ESPAI CIU
RECORTES CERO	267	0	RECORTES CERO
PCTE	405	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
EVC	265	0	ENTRE VEÏNS CATALUNYA
UNIDOS SI	253	0	UNIDOS POR LA SOLIDARIDAD INTERNACIONAL
