Siglas	Votos	Diputados	Candidatura
censo	740060	327236	
participacion	518705		
abstencion	221355		
nulos	4705		
blancos	186776		
PP	186776	3	PARTIDO POPULAR
PSOE	159858	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	79376	1	VOX
SUMAR	69925	1	SUMAR
PACMA	2428	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	1026	0	FRENTE OBRERO
RECORTES CERO	306	0	RECORTES CERO
PUM+J	419	0	POR UN MUNDO MÁS JUSTO
EXISTE	7780	0	ARAGÓN EXISTE - COALICIÓN EXISTE
PCTE	561	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	2146	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
FE de las JONS	272	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
PAR	2745	0	PARTIDO ARAGONÉS
F.I.A.	394	0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN
